user_id,campaign_id,touched_at
2,12,2026-03-02
2,24,2025-12-16
3,8,2025-10-12
3,17,2025-10-12
9,23,2025-11-06
9,1,2026-01-03
11,11,2025-10-04
12,4,2025-11-10
12,7,2026-02-01
14,25,2025-11-29
14,1,2026-01-11
14,23,2026-02-18
15,15,2026-02-03
15,16,2026-01-22
15,11,2026-01-07
16,18,2025-10-25
17,10,2026-01-18
17,22,2025-11-05
21,4,2025-11-18
21,21,2025-09-29
21,12,2025-09-20
23,20,2025-10-23
23,22,2025-10-03
23,14,2025-10-30
23,22,2025-11-07
27,6,2025-12-07
27,14,2026-01-09
28,5,2025-10-13
28,7,2026-03-10
28,23,2026-02-07
33,21,2025-09-19
33,20,2025-09-27
33,15,2025-10-28
33,12,2025-12-05
35,14,2025-10-29
35,15,2026-02-21
35,2,2026-01-09
35,11,2026-02-03
36,15,2025-11-17
36,22,2026-02-01
36,16,2025-09-14
36,6,2026-01-11
38,3,2025-11-23
38,20,2026-01-22
39,23,2026-01-19
39,4,2025-11-25
39,4,2026-01-29
40,21,2025-11-06
40,5,2025-11-16
40,21,2025-11-14
44,18,2025-10-28
44,3,2026-01-13
44,13,2026-02-16
45,17,2026-01-30
45,12,2025-10-16
50,24,2026-01-02
51,21,2025-09-26
51,13,2025-11-09
51,7,2025-12-10
51,10,2026-03-03
52,22,2026-01-07
52,5,2025-11-29
53,12,2026-03-09
53,11,2025-10-21
53,6,2025-10-30
54,6,2026-01-21
54,1,2025-09-17
55,23,2026-02-03
55,5,2026-03-02
55,18,2026-01-21
55,25,2026-01-16
57,10,2026-02-25
57,13,2025-11-10
58,16,2025-11-06
59,23,2026-01-05
61,7,2025-10-27
61,12,2026-01-28
61,3,2025-12-29
61,6,2025-11-14
63,3,2025-11-23
64,23,2025-12-18
68,17,2026-02-21
68,17,2025-11-15
71,8,2025-11-10
71,7,2026-02-20
71,25,2025-11-01
73,11,2025-09-13
74,23,2025-11-17
75,4,2025-10-23
75,25,2026-01-02
75,8,2026-02-16
75,3,2026-03-09
76,7,2026-01-14
76,17,2026-03-07
76,24,2025-12-22
78,1,2026-02-04
78,7,2026-02-01
78,8,2025-12-29
80,4,2025-11-09
80,6,2025-11-05
82,22,2026-02-20
82,20,2025-11-09
82,15,2025-10-18
82,3,2026-01-29
83,15,2026-01-01
83,25,2026-02-07
83,24,2025-10-25
84,23,2026-01-30
84,25,2026-01-11
84,19,2025-11-30
84,11,2025-10-02
87,24,2025-12-17
89,1,2025-10-08
95,21,2026-02-10
95,14,2025-11-01
95,21,2025-11-09
95,21,2025-12-24
96,21,2026-02-12
96,2,2026-03-02
96,7,2026-01-19
96,15,2026-03-01
97,17,2025-09-14
97,2,2025-11-29
97,9,2025-11-15
97,20,2025-12-12
99,25,2025-12-26
99,10,2025-11-22
99,25,2025-11-26
103,12,2025-09-18
103,15,2026-02-12
103,19,2026-01-10
105,5,2026-02-13
106,25,2025-12-27
106,9,2026-02-02
106,15,2025-10-15
107,22,2025-12-22
110,4,2025-09-13
110,3,2025-10-03
110,24,2026-02-25
110,14,2025-10-11
115,12,2025-11-23
115,8,2025-12-21
115,17,2026-03-09
115,14,2025-10-04
116,7,2026-02-23
116,12,2025-10-23
116,13,2025-12-20
116,19,2025-10-02
117,20,2026-01-17
117,3,2026-01-29
117,23,2025-10-21
118,11,2025-12-25
118,20,2026-02-03
118,12,2025-11-30
118,6,2025-12-23
120,13,2026-02-19
122,13,2026-02-23
122,14,2025-12-23
122,19,2026-02-25
123,16,2025-10-26
124,12,2026-01-30
124,23,2026-03-03
124,20,2025-10-14
124,23,2025-10-12
125,15,2026-01-11
125,14,2026-02-19
125,15,2025-09-15
125,3,2026-01-28
126,16,2025-12-13
126,21,2025-10-27
127,11,2025-10-21
127,15,2026-01-25
127,25,2026-02-15
127,16,2026-02-23
131,14,2026-01-16
131,15,2026-02-01
131,7,2026-02-10
132,24,2025-09-23
133,21,2025-10-11
133,9,2025-09-30
138,7,2026-02-15
141,4,2026-03-05
142,5,2026-02-08
142,7,2026-01-06
142,12,2025-11-07
142,21,2026-01-16
144,21,2025-11-08
144,13,2025-10-04
146,14,2025-11-15
147,25,2025-09-24
147,19,2025-10-16
147,24,2025-11-07
147,12,2026-02-18
148,11,2025-10-30
148,15,2025-10-14
150,12,2025-12-29
150,9,2025-09-22
152,2,2025-12-09
153,13,2026-02-04
153,14,2025-11-24
155,3,2025-12-06
158,1,2026-03-03
159,23,2025-10-20
159,2,2025-09-28
159,20,2025-10-18
159,16,2026-02-18
161,20,2025-12-19
161,18,2026-02-07
161,13,2025-11-20
161,21,2025-09-19
163,12,2026-02-09
163,20,2026-02-02
163,18,2025-11-24
166,1,2026-02-10
166,8,2025-10-27
166,22,2025-12-08
166,12,2025-12-03
167,5,2025-10-07
167,2,2025-12-19
167,2,2025-11-13
168,22,2025-12-28
169,20,2025-09-13
169,17,2025-10-03
170,6,2025-11-19
170,9,2026-02-14
170,23,2026-02-20
172,8,2026-03-06
172,18,2025-10-31
173,25,2025-10-21
173,22,2026-01-03
176,3,2026-02-04
176,21,2026-01-30
176,17,2025-12-16
178,2,2025-12-26
178,21,2025-09-28
180,21,2025-11-28
180,15,2026-02-26
180,24,2026-01-22
181,9,2025-12-15
181,21,2025-12-09
181,9,2025-12-29
181,16,2026-02-06
182,14,2026-01-14
182,25,2025-12-02
182,5,2026-01-05
182,24,2025-11-17
187,10,2025-10-13
187,2,2025-10-02
187,24,2025-11-11
187,13,2026-01-25
188,6,2026-03-12
190,10,2025-11-04
190,13,2026-01-23
192,8,2026-01-18
192,3,2026-01-20
192,16,2025-11-20
193,20,2025-12-06
193,20,2025-12-01
194,19,2025-10-31
194,19,2026-01-27
195,5,2026-01-04
195,16,2025-12-06
195,17,2025-11-21
197,17,2025-10-01
197,13,2026-02-25
201,5,2025-10-12
201,5,2025-11-22
203,18,2026-03-09
203,18,2025-10-31
203,11,2025-10-09
204,14,2025-12-01
204,3,2025-12-25
206,11,2026-01-11
206,23,2026-01-14
206,17,2026-01-14
209,8,2025-09-30
213,10,2025-09-17
213,4,2026-03-11
213,19,2025-10-01
215,13,2025-10-09
215,2,2026-02-01
215,14,2025-09-19
215,10,2026-03-04
216,3,2025-09-18
216,9,2025-10-15
218,13,2025-09-20
218,3,2025-09-24
218,25,2026-02-24
219,3,2026-02-26
219,16,2025-10-25
219,12,2025-09-26
219,25,2026-01-22
220,10,2025-12-08
220,18,2026-02-22
220,17,2026-03-11
223,9,2025-10-28
223,13,2025-12-12
226,14,2025-11-23
229,22,2025-12-03
229,15,2026-03-05
230,14,2025-12-21
230,23,2026-02-20
230,13,2025-10-10
232,1,2026-01-15
232,5,2026-01-23
232,17,2026-01-27
232,7,2025-10-18
233,10,2025-09-20
233,7,2026-01-02
233,24,2025-12-22
235,17,2026-02-02
235,11,2025-12-28
235,25,2025-12-31
237,17,2025-09-15
237,11,2025-10-14
237,23,2025-10-24
237,3,2026-03-02
238,8,2026-01-18
239,19,2026-02-25
239,10,2026-01-03
239,2,2025-12-08
241,13,2026-02-21
241,17,2025-12-04
243,7,2025-11-05
245,22,2026-01-27
245,15,2025-12-12
245,18,2025-12-17
245,20,2025-11-21
246,10,2025-11-21
247,25,2025-12-06
247,20,2025-10-29
248,9,2026-01-13
248,16,2025-12-07
248,18,2025-09-19
248,7,2025-12-16
249,18,2025-10-13
250,21,2026-02-25
250,19,2026-03-08
250,18,2025-12-03
251,17,2026-02-09
251,16,2025-11-16
251,7,2025-10-26
252,24,2026-03-10
252,24,2026-01-14
252,17,2025-12-27
252,14,2026-03-07
254,10,2025-11-22
254,13,2025-09-17
254,25,2025-12-13
254,7,2025-09-20
255,12,2026-01-15
255,10,2025-09-30
256,3,2026-02-26
256,16,2025-11-14
259,9,2026-01-25
259,5,2025-09-14
259,17,2026-01-09
259,18,2025-12-26
260,19,2025-11-17
260,25,2025-09-17
260,14,2025-12-22
260,8,2025-09-17
263,23,2026-03-03
263,6,2025-11-24
264,8,2026-03-08
264,16,2025-11-06
264,5,2026-02-04
264,8,2025-10-20
267,12,2026-01-27
267,12,2025-11-17
271,15,2026-03-12
271,4,2025-10-28
273,20,2025-10-07
273,11,2026-02-16
278,21,2026-02-15
279,6,2026-03-01
280,19,2026-02-20
283,20,2026-02-07
283,2,2025-09-23
283,16,2025-09-18
284,19,2025-09-15
284,10,2025-11-12
285,7,2026-01-02
285,8,2025-10-24
286,4,2026-01-22
286,16,2025-10-13
286,18,2025-09-21
290,15,2025-12-07
292,24,2025-09-27
294,6,2025-11-25
294,17,2026-03-02
295,3,2026-02-20
295,13,2025-10-30
295,19,2026-02-13
295,21,2026-02-03
297,15,2026-01-10
297,19,2025-12-31
298,15,2025-11-02
298,11,2026-02-18
300,18,2025-12-21
300,13,2025-10-14
300,18,2025-11-17
300,17,2025-11-24
301,12,2025-09-29
301,11,2026-01-29
303,18,2025-09-21
303,22,2026-01-13
309,21,2026-03-09
309,3,2026-02-16
310,16,2026-02-24
310,12,2026-02-19
313,23,2026-02-19
313,1,2025-09-30
316,2,2026-01-13
316,7,2025-10-24
316,20,2026-03-07
316,15,2025-12-13
317,4,2025-10-17
317,6,2025-12-24
317,9,2025-11-25
317,8,2026-01-27
318,22,2025-11-28
321,7,2025-10-19
326,7,2025-10-06
326,1,2025-09-26
326,25,2025-12-08
328,15,2026-01-11
328,3,2025-12-25
328,19,2025-11-28
328,19,2026-03-04
329,3,2025-12-03
329,7,2025-12-28
329,23,2025-09-29
329,24,2026-03-10
330,8,2025-12-13
330,19,2025-09-26
330,13,2025-11-29
332,2,2025-11-25
334,23,2026-01-31
334,22,2025-10-10
334,2,2025-10-22
339,2,2025-12-03
339,10,2025-11-04
339,11,2025-11-28
340,24,2025-12-12
340,25,2025-10-03
340,14,2025-12-27
341,11,2025-10-20
341,12,2025-10-07
341,22,2025-12-11
341,15,2026-01-05
342,17,2025-12-22
342,22,2025-12-10
343,24,2026-01-19
343,18,2025-11-18
343,19,2026-03-11
346,14,2025-11-27
348,2,2026-02-02
350,2,2025-12-11
350,22,2026-02-23
352,18,2026-02-08
352,21,2026-01-14
352,8,2026-03-10
353,9,2025-10-06
355,7,2025-09-27
356,7,2025-10-13
356,17,2025-09-18
356,8,2026-03-11
356,9,2026-01-11
360,6,2026-03-05
360,3,2025-09-29
360,14,2025-10-26
360,2,2025-12-17
362,13,2026-02-22
362,15,2025-09-15
362,20,2025-09-18
363,16,2026-01-05
363,22,2025-10-10
365,3,2026-02-01
365,5,2026-02-08
367,1,2026-03-08
367,1,2025-12-18
367,19,2026-02-01
369,8,2026-01-30
370,24,2025-10-11
370,23,2025-11-01
370,15,2025-10-29
373,15,2026-02-20
375,24,2026-02-20
375,8,2026-02-20
375,15,2026-01-21
375,12,2025-12-01
376,9,2026-01-10
377,24,2025-10-15
377,15,2025-11-09
377,19,2026-01-14
378,16,2025-12-31
378,16,2025-10-22
378,6,2025-11-09
378,13,2025-12-21
380,16,2026-01-05
380,10,2025-11-13
381,6,2025-10-07
381,6,2025-12-29
381,16,2025-10-21
382,3,2026-02-26
382,13,2025-09-24
382,22,2025-12-03
382,16,2025-12-18
384,1,2025-12-12
384,15,2025-09-24
384,8,2025-09-29
385,2,2026-01-31
385,15,2026-02-25
385,24,2025-11-17
385,19,2026-01-25
387,8,2025-10-18
388,23,2026-03-09
389,20,2025-10-16
389,16,2026-02-10
389,3,2025-12-25
389,15,2025-12-07
390,14,2025-12-04
390,10,2025-10-17
391,23,2025-09-16
392,22,2025-09-23
395,16,2025-12-23
399,9,2026-01-08
399,20,2025-10-26
400,6,2026-01-13
400,6,2026-02-13
400,12,2026-01-11
403,10,2025-10-20
404,13,2026-03-02
405,6,2026-02-26
405,10,2025-11-27
405,5,2026-01-21
411,18,2025-10-20
411,15,2025-11-14
411,15,2025-11-28
412,24,2025-12-30
412,10,2026-02-13
412,15,2025-10-07
412,6,2025-09-16
416,15,2025-11-19
416,9,2025-11-02
416,11,2025-12-12
419,13,2025-11-07
419,7,2026-02-11
421,10,2026-01-21
422,14,2025-12-27
423,12,2026-01-28
423,14,2025-10-04
423,18,2025-11-06
425,25,2026-03-01
425,2,2026-02-21
425,23,2026-01-05
425,19,2026-02-21
426,9,2025-10-24
426,10,2025-10-19
426,23,2025-10-07
427,23,2025-12-24
432,11,2025-10-25
432,14,2025-09-17
432,14,2026-01-11
432,12,2025-12-05
434,14,2025-11-24
434,20,2026-03-04
438,22,2026-03-12
438,5,2025-12-02
445,1,2026-01-01
446,11,2025-10-06
447,22,2026-02-09
447,8,2025-09-15
450,9,2026-02-13
450,22,2025-09-26
450,18,2025-09-28
452,6,2025-10-09
452,5,2026-01-18
452,5,2025-12-16
453,14,2026-02-25
453,7,2026-01-17
453,18,2025-11-12
456,17,2025-12-03
457,3,2025-12-01
457,14,2026-01-17
459,11,2025-11-16
459,19,2025-12-10
459,1,2025-10-12
460,3,2025-11-15
460,2,2025-12-17
460,5,2025-12-21
460,14,2026-01-02
463,4,2025-12-21
463,15,2025-10-12
466,16,2025-09-29
466,22,2026-02-01
467,4,2025-10-12
467,22,2025-11-11
469,14,2025-10-18
470,2,2025-10-27
470,7,2025-12-23
477,14,2025-12-12
480,24,2025-11-02
480,20,2025-10-08
481,21,2025-09-15
482,5,2025-10-06
483,6,2026-02-14
483,2,2025-12-29
483,4,2025-12-02
484,3,2025-11-11
484,15,2026-01-10
484,3,2025-09-22
484,15,2025-12-02
485,18,2026-02-23
485,16,2025-10-27
486,19,2025-11-30
487,11,2025-10-01
487,11,2026-02-15
487,15,2025-10-06
487,22,2025-10-02
488,22,2025-10-14
488,3,2026-01-19
488,14,2026-02-20
488,25,2025-11-29
489,16,2025-10-11
490,15,2025-10-29
493,23,2025-09-22
493,19,2025-12-05
494,6,2026-03-12
494,20,2026-02-21
497,24,2026-02-18
497,23,2025-12-30
497,3,2025-12-08
498,15,2025-11-05
498,15,2025-10-18
499,15,2026-02-23
499,9,2025-10-06
501,4,2026-01-11
501,8,2025-09-27
501,11,2026-01-10
501,3,2026-03-05
505,23,2026-03-01
505,19,2025-10-08
505,22,2025-11-11
505,2,2026-02-03
506,9,2026-01-01
506,14,2026-02-19
508,17,2026-01-14
509,9,2025-12-12
509,9,2025-11-04
509,23,2026-01-21
509,20,2025-09-14
512,14,2026-02-03
513,10,2025-12-13
513,11,2025-10-19
513,21,2025-10-19
513,17,2025-12-28
517,23,2025-11-13
517,19,2025-09-20
517,23,2026-02-09
517,13,2025-09-20
518,23,2025-12-19
518,22,2025-10-21
518,9,2025-10-24
518,3,2025-11-05
519,16,2026-01-02
519,20,2025-09-15
519,11,2025-12-24
519,19,2026-02-22
520,17,2025-12-10
520,16,2026-01-02
521,24,2025-11-15
521,19,2025-09-14
521,10,2025-12-27
521,20,2025-11-23
522,20,2025-11-16
523,11,2026-01-23
524,23,2026-03-08
527,24,2025-10-04
529,8,2026-02-25
529,15,2026-03-05
530,9,2026-01-25
530,24,2025-09-25
530,17,2025-12-03
531,16,2026-02-25
531,7,2025-12-17
531,16,2025-10-27
533,12,2026-02-05
533,20,2026-01-12
533,1,2025-10-22
533,12,2025-11-22
534,21,2026-01-11
534,25,2026-01-09
536,17,2026-02-05
536,9,2026-02-17
536,6,2025-11-29
539,11,2025-10-23
539,4,2025-10-17
539,12,2025-11-21
541,25,2026-02-05
541,9,2026-03-10
543,21,2026-02-18
543,8,2025-11-27
544,8,2026-01-02
545,17,2026-03-02
545,8,2026-01-16
545,13,2026-01-30
546,18,2025-12-15
546,13,2025-10-30
547,16,2026-01-29
547,9,2026-02-21
547,19,2026-01-23
547,12,2026-01-15
550,5,2025-10-11
550,7,2025-11-01
554,10,2026-02-04
554,2,2026-02-15
554,17,2025-12-21
559,21,2025-10-04
560,8,2025-12-28
560,8,2026-02-19
560,16,2025-11-05
560,18,2025-10-27
562,18,2025-12-29
562,6,2026-01-23
562,12,2025-12-05
562,15,2026-02-02
564,16,2026-01-10
564,8,2026-02-13
564,22,2025-09-21
566,5,2026-02-28
