order_id,product_id,qty,unit_price
1,117,4,66.65
1,73,2,44.03
1,97,2,81.46
2,241,3,80.23
2,102,3,113.19
2,249,1,32.65
2,191,1,116.43
3,246,3,34.13
3,66,4,9.45
3,198,3,91.88
3,234,4,110.82
4,162,1,97.93
4,181,2,39.85
4,174,4,17.19
5,4,1,76.95
5,30,4,28.31
6,213,3,97.37
6,110,4,69.34
7,209,2,20.11
7,37,4,36.02
7,69,1,115.72
8,135,4,76.4
8,107,3,19.71
8,168,2,31.24
8,74,2,99.61
9,52,2,25.03
9,16,2,45.05
10,21,1,43.76
10,76,3,8.95
11,3,1,10.46
12,25,2,95.38
13,239,3,82.37
13,125,3,91.38
13,122,3,7.97
14,250,3,57.14
15,186,2,17.11
15,214,1,106.3
15,228,3,25.5
15,237,2,32.92
16,164,3,28.48
17,156,4,103.35
17,125,1,89.97
18,156,2,110.74
18,50,1,53.77
18,183,1,44.26
19,124,2,22.7
20,42,3,102.32
21,171,2,36.98
22,197,3,82.55
22,237,4,39.38
22,154,4,44.73
22,17,2,83.99
22,165,3,68.64
23,147,3,81.98
24,16,2,64.72
24,152,4,82.92
24,138,3,109.03
25,102,1,106.46
26,215,4,81.57
26,57,3,55.92
26,128,1,115.02
27,123,3,85.69
27,162,4,62.88
27,213,3,67.86
27,56,2,87.23
27,127,2,111.78
28,209,2,20.72
28,169,4,69.48
28,234,4,114.33
29,73,2,43.7
29,179,4,56.96
29,237,3,41.6
30,148,4,54.42
30,36,3,112.33
31,93,1,60.68
32,238,1,54.01
32,15,4,84.44
33,112,4,63.87
33,249,1,28.98
33,39,4,29.93
33,161,2,67.76
33,185,4,92.12
34,95,1,36.58
34,3,2,8.58
34,31,4,5.02
34,30,1,35.87
35,77,3,57.94
35,147,2,100.74
35,33,1,41.46
35,26,4,62.75
36,248,1,5.04
36,169,2,53.28
37,53,3,47.5
37,168,1,28.48
37,42,1,81.93
37,23,3,46.92
37,144,2,96.03
38,232,4,3.39
38,201,4,117.74
38,76,3,13.16
