order_id,user_id,order_date,status,channel
1,1133,2025-10-27,paid,web
2,389,2026-02-14,paid,web
3,255,2026-02-22,paid,web
4,506,2025-11-14,cancelled,web
5,302,2025-11-17,paid,ios
6,165,2026-01-23,paid,android
7,843,2025-10-05,paid,ios
8,1008,2025-09-13,paid,web
9,226,2026-01-06,refunded,android
10,838,2026-01-03,refunded,web
11,61,2026-02-09,paid,web
12,15,2026-03-02,refunded,android
13,15,2025-12-18,refunded,web
14,491,2025-12-14,cancelled,web
15,206,2025-09-13,cancelled,android
16,974,2026-01-22,cancelled,ios
17,738,2025-09-24,paid,ios
18,976,2026-02-28,paid,android
19,1124,2026-01-10,paid,android
20,350,2026-02-28,paid,web
21,575,2025-11-08,paid,ios
22,1008,2025-10-06,paid,android
23,183,2025-12-09,refunded,phone
24,642,2025-12-19,refunded,android
25,259,2026-01-24,refunded,ios
26,944,2025-12-02,paid,android
27,633,2026-03-10,paid,web
28,108,2025-10-28,cancelled,ios
29,802,2025-12-22,paid,web
30,1189,2025-09-26,paid,web
31,430,2025-11-07,paid,android
32,303,2025-12-18,cancelled,ios
33,108,2025-10-13,refunded,ios
34,184,2026-01-09,cancelled,web
35,371,2025-12-20,cancelled,phone
36,1198,2026-01-28,paid,android
37,916,2025-12-02,paid,web
38,1,2025-11-15,paid,web
39,386,2025-10-19,paid,android
40,865,2025-10-02,refunded,web
41,552,2026-02-22,paid,ios
42,1124,2025-12-26,paid,web
43,300,2025-11-09,paid,web
44,715,2026-03-11,refunded,android
45,293,2025-12-18,refunded,android
46,511,2026-03-05,refunded,web
47,833,2025-12-02,paid,ios
48,339,2026-02-07,paid,web
49,1055,2026-03-07,refunded,ios
50,1073,2025-11-09,paid,web
51,232,2025-12-08,paid,android
52,543,2025-11-06,paid,android
53,382,2025-12-24,paid,web
54,747,2025-12-31,paid,web
55,407,2025-10-11,paid,web
56,982,2026-03-02,paid,web
57,259,2025-10-22,paid,web
58,593,2025-11-24,cancelled,web
59,212,2026-03-11,refunded,ios
60,561,2025-11-01,paid,web
61,745,2025-11-23,paid,ios
62,659,2026-02-10,paid,android
63,1007,2026-01-19,paid,web
64,741,2026-02-10,refunded,ios
65,268,2026-02-21,refunded,web
66,414,2025-12-31,paid,web
67,1073,2026-01-19,paid,web
68,815,2026-01-17,refunded,android
69,787,2026-02-03,cancelled,web
70,1076,2025-11-18,paid,android
71,304,2025-11-23,paid,web
72,431,2026-01-27,paid,web
73,604,2025-12-05,paid,ios
74,573,2025-10-28,paid,phone
75,418,2026-02-08,cancelled,web
76,372,2026-01-08,paid,android
77,44,2026-01-03,cancelled,ios
78,825,2025-10-08,refunded,web
79,43,2025-10-11,paid,android
80,549,2025-10-19,refunded,web
81,694,2025-10-04,paid,web
82,608,2026-02-03,paid,web
83,463,2026-03-07,cancelled,ios
84,460,2025-10-09,paid,web
85,588,2025-12-11,paid,web
86,980,2025-09-30,paid,ios
87,848,2026-02-14,paid,web
88,472,2025-12-20,paid,ios
89,971,2025-10-17,paid,web
90,460,2025-09-27,paid,web
91,218,2026-03-01,refunded,web
92,614,2026-01-11,cancelled,ios
93,23,2025-12-23,cancelled,ios
94,257,2025-11-06,cancelled,ios
95,830,2025-12-19,paid,web
96,578,2025-10-24,refunded,web
97,67,2025-11-13,paid,web
98,729,2025-10-16,paid,web
99,192,2025-11-11,paid,android
100,269,2025-12-08,paid,web
101,634,2026-01-31,paid,web
102,970,2025-11-17,cancelled,ios
103,265,2026-01-03,paid,web
104,1149,2025-09-15,paid,android
105,715,2026-01-10,cancelled,ios
106,996,2025-11-06,cancelled,web
107,741,2026-01-01,cancelled,web
108,142,2025-11-22,cancelled,web
109,716,2025-12-29,cancelled,web
110,1149,2026-02-12,paid,web
111,8,2026-01-06,paid,ios
112,746,2025-09-17,paid,android
113,765,2025-10-28,refunded,ios
114,1116,2025-10-08,cancelled,web
115,434,2025-11-09,cancelled,ios
116,719,2026-01-09,cancelled,android
117,9,2025-12-28,paid,web
118,802,2025-11-01,refunded,ios
119,800,2025-10-27,cancelled,android
120,53,2026-01-02,paid,ios
121,1097,2025-11-14,cancelled,android
122,48,2026-02-23,refunded,android
123,579,2025-11-19,paid,web
