product_id,category,brand,cost
1,produce,Zeta,4.22
2,beer,Sol,6.17
3,produce,Orbit,6.72
4,cleaning,Zeta,38.65
5,snacks,Rio,50.78
6,pets,Sol,28.79
7,pets,Nova,38.87
8,dairy,Zeta,22.89
9,dairy,Vale,12.01
10,beer,Prime,26.94
11,pets,Orbit,50.39
12,beer,Zeta,45.38
13,snacks,Nova,40.42
14,dairy,Orbit,33.66
15,dairy,Sol,57.97
16,produce,Orbit,29.1
17,snacks,Sol,54.26
18,beer,Zeta,8.1
19,produce,Zeta,56.99
20,coffee,Orbit,48.7
21,coffee,Acme,25.98
22,dairy,Orbit,59.84
23,coffee,Prime,19.87
24,snacks,Nova,23.9
25,dairy,Vale,51.54
26,produce,Acme,47.41
27,dairy,Nova,25.45
28,coffee,Nova,55.57
29,snacks,Prime,52.18
30,personal_care,Sol,16.58
31,produce,Rio,3.21
32,pets,Sol,9.49
33,dairy,Acme,24.35
34,personal_care,Orbit,3.91
35,produce,Prime,53.92
36,beer,Vale,49.23
37,pets,Prime,17.54
38,produce,Nova,58.38
39,cleaning,Zeta,18.73
40,produce,Vale,16.9
41,dairy,Nova,12.09
42,cleaning,Sol,44.72
43,personal_care,Acme,31.4
44,coffee,Nova,19.36
45,dairy,Zeta,47.05
46,beer,Zeta,12.37
47,cleaning,Acme,15.72
48,produce,Acme,55.16
49,cleaning,Prime,22.73
50,produce,Sol,38.49
51,snacks,Acme,15.27
52,produce,Rio,11.48
53,produce,Vale,21.31
54,pets,Nova,17.82
55,dairy,Acme,10.61
56,cleaning,Orbit,39.2
57,cleaning,Prime,39.44
58,beer,Acme,28.97
59,coffee,Zeta,36.47
60,beer,Orbit,15.89
61,pets,Prime,26.0
62,dairy,Vale,28.08
63,cleaning,Rio,18.83
64,dairy,Nova,1.43
65,personal_care,Prime,18.61
66,snacks,Rio,4.77
67,pets,Vale,51.83
68,pets,Prime,12.11
69,cleaning,Acme,48.52
70,dairy,Vale,41.16
71,beer,Rio,59.85
72,pets,Sol,24.87
73,beer,Orbit,21.25
74,cleaning,Rio,54.49
75,personal_care,Prime,50.88
76,coffee,Prime,6.76
77,coffee,Prime,43.79
78,coffee,Vale,39.61
79,cleaning,Vale,14.18
80,pets,Sol,47.5
