return_id,order_id,product_id,qty,return_date,reason
1,5,4,1,2025-11-27,changed_mind
2,79,34,1,2025-10-24,quality_issue
3,85,68,4,2026-01-09,damaged
4,86,83,4,2025-10-18,changed_mind
5,130,3,3,2025-12-24,changed_mind
6,136,179,1,2025-10-16,wrong_item
7,145,174,1,2025-11-03,wrong_item
8,190,32,2,2025-12-26,wrong_item
9,192,67,2,2025-11-19,damaged
10,225,73,2,2025-11-02,quality_issue
11,238,62,4,2026-01-04,damaged
12,242,221,4,2025-12-15,late_delivery
13,379,184,1,2025-12-25,wrong_item
14,423,99,1,2025-09-23,late_delivery
15,439,14,1,2025-12-12,late_delivery
16,517,24,1,2025-09-22,wrong_item
17,522,151,1,2026-03-12,wrong_item
18,598,24,2,2025-12-12,late_delivery
19,602,14,1,2026-01-29,damaged
20,606,240,1,2026-02-24,wrong_item
21,616,219,1,2026-02-07,late_delivery
22,620,36,3,2026-01-11,quality_issue
23,631,203,1,2026-02-03,wrong_item
24,639,46,1,2026-03-10,changed_mind
25,645,69,3,2025-10-18,wrong_item
26,647,218,1,2025-10-10,wrong_item
27,663,245,2,2025-12-14,quality_issue
28,678,39,1,2026-01-01,quality_issue
29,681,92,2,2025-10-24,late_delivery
30,713,103,2,2026-02-03,late_delivery
31,758,118,2,2025-12-02,quality_issue
32,786,23,4,2025-09-28,quality_issue
33,791,96,1,2025-11-05,wrong_item
34,795,182,1,2025-10-27,late_delivery
35,862,182,2,2026-02-06,quality_issue
36,863,78,2,2026-01-30,quality_issue
37,879,206,1,2025-12-13,wrong_item
38,884,172,1,2025-10-20,late_delivery
39,893,2,3,2026-03-10,wrong_item
40,894,49,1,2026-02-24,late_delivery
41,911,195,1,2025-10-18,wrong_item
42,956,120,2,2025-10-10,changed_mind
43,997,51,2,2025-10-21,changed_mind
44,1013,220,2,2026-02-27,quality_issue
45,1108,156,1,2025-11-03,wrong_item
46,1128,100,3,2025-11-01,wrong_item
47,1147,112,1,2026-03-05,damaged
48,1170,66,1,2026-02-16,damaged
49,1198,166,1,2026-03-03,quality_issue
50,1218,1,1,2026-02-05,wrong_item
51,1259,117,2,2025-11-11,damaged
52,1282,2,1,2026-02-07,wrong_item
53,1290,210,2,2026-02-09,wrong_item
54,1291,80,1,2025-10-25,damaged
55,1321,164,1,2026-01-16,late_delivery
56,1326,175,3,2026-01-11,damaged
57,1383,134,2,2025-11-13,quality_issue
58,1386,13,2,2026-03-08,late_delivery
59,1392,217,1,2026-02-02,changed_mind
60,1406,10,2,2025-11-14,changed_mind
61,1411,56,1,2025-12-13,quality_issue
62,1427,224,2,2026-03-11,wrong_item
63,1503,169,1,2026-02-27,damaged
64,1522,146,2,2026-01-01,changed_mind
65,1539,132,1,2025-11-28,damaged
66,1578,226,2,2026-01-23,wrong_item
67,1603,108,1,2026-01-17,damaged
68,1691,232,1,2025-11-08,damaged
69,1701,210,1,2025-11-09,wrong_item
70,1704,80,1,2025-10-19,wrong_item
71,1731,157,2,2026-02-19,changed_mind
72,1765,104,3,2025-11-09,late_delivery
73,1767,62,2,2025-12-18,changed_mind
74,1778,24,2,2026-02-07,changed_mind
75,1784,192,1,2025-10-22,damaged
76,1866,65,2,2026-02-04,changed_mind
77,1882,199,1,2025-11-23,late_delivery
78,1891,58,1,2025-10-09,late_delivery
79,1951,97,3,2026-02-02,damaged
80,1956,161,2,2026-02-09,damaged
81,1962,112,1,2025-11-20,late_delivery
82,1964,157,2,2026-02-04,wrong_item
83,1998,156,2,2026-02-16,wrong_item
84,1999,209,2,2026-03-03,quality_issue
85,2012,18,1,2025-11-21,wrong_item
86,2016,28,1,2025-10-27,damaged
87,2020,179,1,2026-01-02,changed_mind
88,2050,222,1,2025-10-27,damaged
89,2066,118,2,2026-02-04,damaged
90,2098,204,1,2026-03-05,quality_issue
91,2135,156,2,2025-12-31,late_delivery
92,2143,165,4,2025-10-25,damaged
93,2184,116,1,2026-01-30,damaged
94,2209,22,2,2025-11-08,wrong_item
95,2234,82,1,2025-12-23,changed_mind
96,2253,129,1,2026-01-19,wrong_item
97,2292,100,1,2025-10-30,quality_issue
98,2299,216,2,2026-01-13,wrong_item
99,2306,192,2,2026-03-10,quality_issue
100,2378,39,1,2026-01-23,late_delivery
101,2382,160,2,2026-02-18,quality_issue
102,2397,135,1,2026-02-28,changed_mind
103,2411,84,4,2026-02-27,damaged
104,2426,141,3,2025-10-18,wrong_item
105,2485,168,1,2026-02-21,late_delivery
106,2493,114,1,2026-03-11,late_delivery
107,2516,245,1,2025-11-15,wrong_item
108,2522,200,1,2026-03-08,changed_mind
109,2558,84,1,2026-02-16,changed_mind
110,2571,239,3,2026-01-08,late_delivery
111,2572,6,2,2025-11-21,late_delivery
112,2586,100,1,2026-02-25,changed_mind
113,2613,192,4,2025-12-05,wrong_item
114,2623,203,1,2025-10-22,wrong_item
115,2662,119,2,2026-03-05,wrong_item
116,2702,168,1,2026-03-06,late_delivery
117,2722,105,4,2026-02-21,damaged
118,2755,21,1,2026-01-21,late_delivery
119,2767,216,1,2026-02-23,wrong_item
120,2793,173,2,2025-11-23,damaged
121,2795,90,4,2025-12-31,late_delivery
122,2883,1,1,2025-11-03,changed_mind
123,2895,171,1,2025-12-12,late_delivery
124,2896,162,1,2025-10-28,quality_issue
125,2915,1,2,2026-02-02,damaged
126,2918,90,1,2025-10-25,damaged
127,2923,90,2,2026-01-08,changed_mind
128,2936,168,1,2025-11-27,damaged
129,2941,152,2,2025-12-22,quality_issue
130,2943,183,1,2025-11-02,damaged
131,2953,12,3,2026-02-26,late_delivery
132,2956,172,3,2025-12-25,quality_issue
133,2996,186,2,2025-10-24,late_delivery
134,3007,22,2,2025-12-30,late_delivery
135,3033,46,2,2025-12-06,late_delivery
136,3043,116,1,2025-12-18,changed_mind
137,3045,200,2,2025-11-25,changed_mind
138,3059,103,1,2025-12-30,late_delivery
139,3080,184,1,2026-03-07,wrong_item
140,3105,226,1,2026-02-10,late_delivery
141,3123,205,1,2025-10-18,changed_mind
142,3143,206,1,2025-10-17,changed_mind
143,3162,110,3,2026-02-13,wrong_item
144,3170,174,2,2026-03-06,late_delivery
145,3176,178,1,2026-03-12,quality_issue
146,3180,210,3,2026-03-04,late_delivery
147,3184,211,1,2025-12-04,quality_issue
148,3193,165,3,2025-12-12,late_delivery
149,3223,226,3,2026-01-24,late_delivery
150,3227,221,1,2026-02-20,wrong_item
151,3258,85,1,2026-01-04,quality_issue
152,3260,245,1,2026-01-31,late_delivery
153,3266,216,1,2026-01-22,wrong_item
154,3314,189,1,2025-09-22,quality_issue
155,3320,158,1,2025-12-18,late_delivery
156,3360,223,1,2026-03-07,changed_mind
157,3378,86,1,2026-01-12,damaged
158,3379,242,1,2025-11-22,changed_mind
159,3391,108,1,2026-02-06,quality_issue
160,3402,150,1,2025-10-11,damaged
161,3420,20,3,2026-03-12,late_delivery
162,3425,25,1,2026-02-15,wrong_item
163,3432,60,2,2026-01-27,damaged
164,3445,203,1,2025-12-15,wrong_item
165,3450,83,2,2025-10-26,changed_mind
166,3451,54,2,2026-03-02,changed_mind
167,3459,119,1,2025-12-14,damaged
168,3505,152,1,2025-12-22,late_delivery
169,3517,20,1,2025-11-11,quality_issue
170,3531,52,2,2025-10-11,changed_mind
171,3554,116,3,2026-01-01,changed_mind
172,3569,77,2,2025-12-17,wrong_item
173,3577,136,1,2026-02-28,changed_mind
174,3580,32,1,2025-10-15,changed_mind
175,3584,215,1,2025-10-11,late_delivery
176,3586,58,1,2025-11-03,quality_issue
177,3590,131,2,2026-01-11,quality_issue
178,3620,179,1,2026-02-25,damaged
179,3626,181,2,2026-01-28,late_delivery
180,3665,56,1,2026-01-07,wrong_item
181,3666,2,1,2026-02-25,wrong_item
182,3674,22,2,2026-01-28,late_delivery
183,3705,67,2,2026-03-08,late_delivery
184,3710,211,2,2025-10-22,damaged
185,3720,31,1,2025-12-25,changed_mind
186,3727,192,1,2025-10-07,damaged
187,3743,124,1,2026-03-10,changed_mind
188,3745,177,1,2026-02-11,wrong_item
189,3752,218,1,2025-11-22,late_delivery
190,3781,191,1,2026-01-17,late_delivery
191,3788,156,1,2025-11-16,quality_issue
192,3823,98,1,2026-01-15,late_delivery
193,3835,78,1,2025-11-18,damaged
194,3838,10,1,2025-09-24,quality_issue
195,3856,221,1,2025-11-14,damaged
196,3871,197,1,2026-02-01,wrong_item
197,3891,219,1,2025-11-30,wrong_item
198,3899,141,4,2025-10-14,quality_issue
199,3924,144,2,2026-02-11,wrong_item
200,3937,204,1,2025-12-16,quality_issue
201,3943,235,1,2026-02-15,late_delivery
202,3969,118,2,2026-02-21,quality_issue
203,3972,113,3,2026-01-02,damaged
204,4000,245,3,2025-11-27,wrong_item
205,4020,27,1,2025-09-27,damaged
206,4025,201,1,2025-12-21,quality_issue
207,4028,133,3,2025-12-09,late_delivery
208,4084,241,2,2026-02-02,damaged
209,4099,208,3,2026-03-11,quality_issue
210,4122,10,1,2025-12-24,late_delivery
211,4143,207,4,2025-12-11,late_delivery
212,4197,182,1,2025-10-28,changed_mind
213,4249,23,1,2026-03-10,changed_mind
214,4271,28,1,2026-01-18,changed_mind
215,4340,114,1,2026-02-17,damaged
216,4360,56,2,2025-11-29,quality_issue
217,4373,133,1,2025-11-09,quality_issue
218,4384,21,3,2025-11-21,quality_issue
219,4390,229,1,2026-02-19,wrong_item
220,4411,70,1,2025-12-29,late_delivery
221,4412,219,1,2025-11-15,damaged
222,4440,232,1,2026-02-23,damaged
223,4446,197,2,2025-12-09,late_delivery
224,4451,199,2,2026-03-03,quality_issue
225,4463,73,1,2026-01-24,damaged
226,4486,161,3,2026-03-02,wrong_item
227,4487,70,1,2025-11-02,changed_mind
228,4501,21,2,2026-02-17,wrong_item
229,4504,156,1,2025-12-19,wrong_item
230,4506,193,1,2025-12-20,quality_issue
231,4534,125,1,2026-03-01,changed_mind
232,4536,248,1,2025-12-18,damaged
233,4598,116,2,2025-10-27,wrong_item
234,4613,80,1,2026-01-08,changed_mind
235,4623,165,1,2025-11-29,quality_issue
236,4627,209,1,2025-11-19,wrong_item
237,4639,15,1,2026-02-04,changed_mind
238,4644,222,4,2025-10-30,late_delivery
239,4703,177,1,2026-01-24,damaged
240,4720,37,2,2026-01-05,wrong_item
241,4726,189,2,2025-12-16,wrong_item
242,4758,134,3,2026-02-20,quality_issue
243,4773,91,1,2025-12-18,damaged
244,4781,51,2,2026-03-12,quality_issue
245,4799,95,2,2025-12-13,late_delivery
246,4812,128,1,2025-11-21,wrong_item
247,4841,99,2,2025-10-06,changed_mind
248,4854,125,1,2025-09-28,late_delivery
249,4857,110,1,2026-02-21,wrong_item
250,4864,230,4,2026-01-08,late_delivery
251,4896,177,1,2025-12-18,changed_mind
252,4900,28,1,2026-03-01,quality_issue
253,4904,231,4,2025-11-15,late_delivery
254,4967,4,1,2026-03-04,quality_issue
255,4988,45,1,2026-02-25,late_delivery
256,5009,180,2,2025-12-12,quality_issue
257,5012,18,2,2026-03-12,damaged
258,5026,199,1,2026-02-10,damaged
259,5041,99,2,2026-03-03,changed_mind
260,5057,184,2,2026-02-22,late_delivery
261,5064,153,2,2025-12-19,quality_issue
262,5095,68,1,2025-11-29,damaged
263,5123,81,2,2025-12-02,damaged
264,5166,53,2,2026-02-04,changed_mind
265,5228,93,3,2026-03-11,damaged
266,5234,6,1,2026-01-12,late_delivery
267,5235,250,1,2025-11-21,quality_issue
268,5236,188,1,2025-09-20,quality_issue
269,5251,243,2,2025-10-07,wrong_item
270,5269,100,2,2026-02-27,wrong_item
271,5317,153,2,2026-01-26,late_delivery
272,5337,211,1,2026-02-17,quality_issue
273,5345,9,2,2025-12-01,late_delivery
274,5354,46,1,2025-11-30,late_delivery
275,5362,223,2,2026-03-12,wrong_item
276,5367,137,1,2026-03-02,changed_mind
277,5396,3,3,2025-09-27,quality_issue
