subscription_id,user_id,plan,start_date,end_date,status
1,2,basic,2025-12-20,2026-02-04,cancelled
2,3,pro,2025-10-22,2026-03-03,cancelled
3,4,pro,2026-01-31,,active
4,6,basic,2025-10-21,2026-01-03,cancelled
5,7,enterprise,2026-03-03,,active
6,8,pro,2026-01-24,2026-03-02,expired
7,10,basic,2026-01-06,2026-03-02,cancelled
8,12,pro,2026-02-06,,active
9,13,basic,2026-03-03,,active
10,15,basic,2026-01-04,2026-01-30,cancelled
11,17,basic,2025-12-16,2026-01-02,expired
12,18,pro,2025-11-23,2026-02-15,cancelled
13,20,pro,2025-11-15,,active
14,21,pro,2026-03-03,,active
15,22,basic,2026-01-27,,active
16,26,basic,2026-03-11,,active
17,27,basic,2026-02-15,2026-03-03,expired
18,28,basic,2025-11-16,2025-12-29,cancelled
19,29,basic,2025-11-20,,active
20,31,enterprise,2026-01-20,,active
21,33,enterprise,2025-12-27,2026-01-26,cancelled
22,34,basic,2026-02-21,,active
23,37,basic,2025-12-02,,active
24,38,pro,2026-02-23,2026-03-09,cancelled
25,39,basic,2026-01-08,,active
26,40,basic,2026-01-08,,active
27,42,basic,2025-12-08,2026-02-21,cancelled
28,43,basic,2026-03-10,2026-03-24,cancelled
29,44,basic,2025-12-26,2026-01-11,expired
30,45,basic,2025-12-08,,active
31,46,enterprise,2026-02-08,,active
32,49,basic,2026-02-13,2026-03-06,expired
33,50,pro,2026-03-08,,active
34,51,pro,2026-03-04,2026-03-18,cancelled
35,54,basic,2026-03-01,,active
36,55,basic,2026-03-11,2026-03-25,expired
37,56,basic,2026-03-07,2026-03-21,cancelled
38,59,basic,2026-03-06,2026-03-20,cancelled
39,60,basic,2026-03-12,,active
40,62,pro,2026-02-14,2026-03-11,expired
41,64,basic,2026-02-18,,active
42,65,pro,2025-12-14,2026-03-07,cancelled
43,66,pro,2026-02-21,2026-03-07,cancelled
44,67,basic,2025-12-10,,active
45,68,basic,2026-01-25,,active
46,70,basic,2026-02-23,2026-03-12,expired
47,71,pro,2026-02-11,,active
48,72,basic,2025-12-24,2026-02-26,expired
49,76,pro,2025-12-11,,active
50,77,pro,2026-03-10,2026-03-24,cancelled
51,79,basic,2026-02-09,,active
52,80,basic,2026-02-14,,active
53,81,basic,2025-12-31,2026-02-08,cancelled
54,82,pro,2026-02-21,,active
55,84,basic,2025-12-22,,active
56,87,basic,2026-02-11,,active
57,89,pro,2026-01-17,,active
58,90,basic,2026-01-30,2026-02-24,cancelled
59,91,basic,2026-01-26,2026-02-13,expired
60,92,pro,2026-02-25,2026-03-12,cancelled
61,94,enterprise,2026-01-09,2026-02-28,cancelled
62,95,basic,2026-03-12,,active
63,96,enterprise,2026-02-01,2026-03-04,expired
64,97,pro,2026-03-06,2026-03-20,expired
65,99,basic,2026-02-15,2026-03-08,cancelled
66,100,pro,2025-12-11,2026-01-23,expired
67,101,basic,2026-02-15,,active
68,103,basic,2026-01-31,2026-02-24,cancelled
69,105,basic,2026-02-27,,active
70,109,basic,2025-12-09,2026-01-18,cancelled
71,112,pro,2025-12-24,2026-03-11,cancelled
72,114,basic,2026-01-27,,active
73,115,pro,2026-02-03,2026-03-04,cancelled
74,117,basic,2026-01-20,,active
75,119,basic,2026-03-12,,active
76,122,basic,2026-02-19,,active
77,124,basic,2026-02-24,,active
78,125,pro,2026-01-18,,active
79,126,basic,2026-01-29,,active
80,127,basic,2026-02-12,2026-03-03,cancelled
81,128,basic,2026-02-18,,active
82,129,basic,2025-11-27,2026-01-10,cancelled
83,131,pro,2025-10-30,,active
84,132,basic,2026-01-25,2026-02-28,expired
85,133,basic,2026-01-21,,active
86,134,basic,2025-12-26,2026-02-08,expired
87,135,pro,2025-12-05,,active
88,136,enterprise,2026-02-06,,active
89,137,basic,2026-03-12,2026-03-26,cancelled
90,139,enterprise,2025-12-25,,active
91,141,pro,2025-12-12,,active
92,142,pro,2026-01-30,2026-03-05,expired
93,143,pro,2026-03-04,2026-03-18,cancelled
94,144,basic,2026-02-08,2026-03-06,cancelled
95,145,pro,2026-02-20,2026-03-10,expired
96,146,basic,2025-10-05,,active
97,147,basic,2026-03-12,2026-03-26,cancelled
98,148,basic,2026-01-27,,active
99,149,basic,2026-01-05,,active
100,150,basic,2026-01-15,,active
101,151,basic,2026-01-14,,active
102,153,pro,2026-02-04,2026-03-04,expired
103,154,basic,2026-01-24,,active
104,156,basic,2026-02-08,2026-03-12,cancelled
105,158,enterprise,2026-02-26,,active
106,160,basic,2025-12-15,,active
107,161,basic,2025-12-06,,active
108,162,basic,2026-03-12,,active
109,164,pro,2026-03-02,2026-03-16,cancelled
110,165,pro,2026-03-11,,active
111,166,pro,2026-01-02,2026-01-30,cancelled
112,167,basic,2026-02-17,2026-03-07,cancelled
113,170,pro,2026-02-13,,active
114,171,basic,2026-02-06,,active
115,173,basic,2026-02-13,2026-02-27,cancelled
116,174,basic,2026-03-01,2026-03-15,cancelled
117,175,basic,2026-02-15,,active
118,178,pro,2025-12-27,,active
119,180,basic,2026-01-11,,active
120,181,basic,2026-03-12,,active
121,182,basic,2026-03-11,2026-03-25,expired
122,183,pro,2025-10-29,,active
123,185,pro,2026-01-21,,active
124,187,basic,2026-01-03,2026-02-21,cancelled
125,188,pro,2026-02-21,,active
126,189,pro,2026-02-14,,active
127,190,basic,2026-01-16,2026-02-24,expired
128,191,basic,2026-02-27,2026-03-13,cancelled
129,192,basic,2026-02-04,2026-02-28,expired
130,195,pro,2026-03-11,2026-03-25,cancelled
131,196,basic,2026-02-20,2026-03-12,expired
132,198,basic,2026-03-06,,active
133,200,basic,2026-01-27,,active
134,201,basic,2026-02-26,,active
135,203,pro,2026-02-27,,active
136,204,basic,2026-01-31,,active
137,205,pro,2026-02-12,,active
