user_id,created_at,country,marketing_source
1,2026-02-23,BR,google
2,2025-11-22,US,google
3,2025-10-09,PT,google
4,2025-12-30,BR,google
5,2025-11-07,US,organic
6,2025-09-19,PT,google
7,2026-02-26,PT,facebook
8,2026-01-05,PT,google
9,2025-09-14,US,organic
10,2025-12-09,MX,google
11,2025-12-08,BR,google
12,2025-10-07,MX,email
13,2026-02-14,MX,email
14,2026-01-08,PT,google
15,2025-12-18,BR,organic
16,2026-02-20,PT,email
17,2025-12-14,PT,google
18,2025-09-30,BR,organic
19,2025-11-26,BR,email
20,2025-10-08,CA,google
21,2026-02-22,MX,google
22,2025-12-12,US,organic
23,2026-03-11,BR,organic
24,2025-10-26,PT,referral
25,2025-10-24,CA,facebook
26,2026-02-23,PT,google
27,2025-12-05,BR,google
28,2025-09-21,MX,facebook
29,2025-09-29,US,tiktok
30,2026-02-05,MX,google
31,2026-01-18,CA,email
32,2026-02-24,CA,google
33,2025-10-18,US,referral
34,2026-01-28,MX,referral
35,2025-12-31,PT,facebook
36,2025-11-08,US,organic
37,2025-10-06,BR,email
38,2025-10-22,US,email
39,2025-12-30,PT,google
40,2025-12-19,PT,tiktok
41,2026-01-26,MX,tiktok
42,2025-09-15,BR,organic
43,2026-01-28,MX,referral
44,2025-12-09,BR,facebook
45,2025-10-23,CA,google
46,2025-11-19,PT,referral
47,2026-01-20,BR,email
48,2025-11-28,PT,organic
49,2025-10-22,MX,referral
50,2026-01-29,PT,tiktok
51,2026-02-13,MX,organic
52,2025-10-11,MX,email
53,2025-11-30,US,google
54,2026-02-05,BR,google
55,2026-01-15,BR,tiktok
56,2026-01-27,US,google
57,2026-01-12,PT,google
58,2026-01-26,PT,facebook
59,2025-11-06,PT,referral
60,2026-03-08,US,referral
61,2025-12-24,MX,facebook
62,2026-01-23,CA,google
63,2025-11-09,BR,facebook
64,2026-02-10,PT,google
65,2025-11-08,BR,google
66,2026-02-21,BR,google
67,2025-09-21,MX,google
68,2025-11-12,MX,organic
69,2025-11-06,PT,google
70,2026-02-06,PT,organic
71,2026-01-12,CA,google
72,2025-10-07,CA,facebook
73,2025-12-27,CA,email
74,2025-09-26,BR,google
75,2025-12-08,BR,google
76,2025-10-31,PT,facebook
77,2025-12-30,US,google
78,2025-11-15,BR,facebook
79,2026-01-31,BR,google
80,2026-01-29,BR,tiktok
81,2025-11-12,US,facebook
82,2026-01-14,US,email
83,2025-09-28,US,facebook
84,2025-12-21,MX,tiktok
85,2026-01-07,MX,facebook
86,2026-02-02,CA,google
87,2025-11-27,US,tiktok
88,2026-02-08,PT,google
89,2025-12-02,BR,google
90,2026-01-13,PT,tiktok
91,2026-01-26,US,google
92,2026-01-21,BR,email
93,2025-09-30,PT,google
94,2025-11-12,CA,google
95,2026-02-05,US,organic
96,2025-09-23,PT,google
97,2026-02-28,PT,organic
98,2025-12-02,MX,google
99,2025-12-02,US,google
100,2025-10-16,MX,facebook
101,2025-10-01,BR,facebook
102,2026-02-04,BR,google
103,2025-11-06,PT,google
104,2025-12-11,BR,email
105,2025-12-16,MX,google
106,2026-01-30,MX,organic
107,2026-02-27,PT,google
108,2026-02-01,MX,tiktok
109,2025-10-09,US,google
110,2025-10-10,PT,google
111,2025-11-24,PT,google
112,2025-12-09,US,organic
113,2025-11-19,PT,organic
114,2025-09-26,BR,organic
115,2025-11-22,BR,google
116,2025-10-16,MX,google
117,2026-01-04,PT,organic
118,2026-02-03,BR,google
119,2026-03-08,US,organic
120,2025-12-16,PT,organic
121,2026-01-01,US,google
122,2025-12-15,BR,email
123,2025-11-05,US,organic
124,2025-12-12,PT,email
125,2025-12-26,PT,referral
126,2025-11-12,US,tiktok
127,2025-10-28,CA,google
128,2025-12-07,CA,email
129,2025-11-15,MX,google
130,2026-03-11,BR,facebook
131,2025-09-22,CA,google
132,2026-01-08,MX,facebook
133,2025-11-10,US,google
134,2025-11-01,CA,facebook
135,2025-09-30,MX,facebook
136,2026-01-21,CA,organic
137,2026-01-28,MX,tiktok
138,2025-10-12,MX,google
139,2025-11-19,BR,google
140,2026-01-02,MX,referral
141,2025-12-02,CA,organic
142,2026-01-21,BR,facebook
143,2026-02-07,US,google
144,2026-01-02,BR,organic
145,2026-01-28,US,facebook
146,2025-09-30,MX,organic
147,2026-03-01,BR,referral
148,2025-11-28,PT,facebook
149,2025-12-26,MX,facebook
150,2025-11-27,PT,google
151,2025-12-29,CA,organic
152,2025-10-27,PT,organic
153,2025-12-25,PT,email
154,2025-11-29,MX,google
155,2026-02-08,PT,organic
156,2026-01-10,CA,facebook
157,2025-11-06,PT,organic
158,2025-10-26,BR,facebook
159,2026-03-01,PT,facebook
160,2025-11-12,MX,google
161,2025-11-02,US,google
162,2025-11-14,CA,organic
163,2025-10-01,CA,facebook
164,2026-02-21,PT,google
165,2026-03-10,CA,organic
166,2025-11-14,US,organic
167,2025-09-14,BR,referral
168,2025-11-08,US,email
169,2026-03-10,PT,organic
170,2026-02-02,US,tiktok
171,2025-10-14,CA,google
172,2026-01-09,PT,tiktok
173,2026-02-12,MX,tiktok
174,2026-01-04,PT,email
175,2026-01-20,CA,email
176,2026-01-31,CA,email
177,2026-01-12,CA,google
178,2025-11-15,MX,referral
179,2026-01-24,CA,organic
180,2025-11-22,CA,google
181,2025-11-25,US,google
182,2025-12-03,PT,google
183,2025-10-21,US,facebook
184,2025-10-22,US,google
185,2025-12-26,MX,organic
186,2025-12-28,BR,google
187,2025-12-29,CA,email
188,2026-02-09,BR,email
189,2026-02-07,CA,organic
190,2025-12-12,MX,referral
191,2025-12-29,PT,referral
192,2026-01-30,PT,email
193,2026-01-15,US,google
194,2026-01-15,BR,facebook
195,2026-03-03,CA,referral
196,2026-01-10,US,tiktok
197,2026-01-27,BR,email
198,2026-02-11,PT,organic
199,2025-10-04,CA,google
200,2026-01-09,US,google
201,2025-12-19,MX,google
202,2025-12-05,MX,referral
203,2025-12-19,MX,referral
204,2025-12-29,MX,email
205,2026-01-11,BR,referral
206,2025-09-26,MX,google
207,2025-09-30,BR,referral
208,2025-11-15,US,email
209,2026-02-19,US,google
210,2026-01-12,BR,organic
211,2025-11-07,CA,organic
212,2025-12-16,US,organic
213,2025-10-12,US,tiktok
214,2025-10-10,PT,google
215,2025-12-01,PT,organic
216,2025-12-18,CA,tiktok
217,2025-11-02,BR,organic
218,2026-02-20,US,google
219,2025-11-29,PT,email
220,2026-02-04,BR,facebook
221,2025-12-31,MX,google
222,2026-02-25,MX,google
223,2025-12-29,CA,google
224,2025-12-14,CA,organic
225,2026-01-02,US,referral
226,2026-02-26,MX,organic
227,2026-01-28,CA,organic
228,2026-02-11,MX,facebook
229,2025-11-14,BR,google
230,2026-01-06,US,referral
231,2026-02-05,PT,organic
232,2025-12-08,BR,organic
233,2025-12-05,US,organic
234,2025-12-12,MX,facebook
235,2026-02-12,MX,organic
236,2026-01-23,US,google
237,2025-12-26,CA,organic
238,2025-11-13,CA,organic
239,2026-01-16,CA,email
240,2025-10-06,MX,google
241,2026-03-09,US,facebook
242,2026-02-08,MX,organic
243,2026-01-26,MX,facebook
244,2026-01-31,MX,facebook
245,2026-01-07,MX,facebook
246,2025-11-11,BR,referral
247,2025-12-02,BR,referral
248,2026-03-08,US,google
249,2026-01-14,MX,referral
250,2026-01-25,PT,facebook
251,2025-10-08,US,facebook
252,2025-12-14,US,facebook
253,2026-01-27,US,google
254,2025-09-26,PT,facebook
255,2025-10-15,CA,google
256,2025-09-16,PT,facebook
257,2026-01-13,CA,facebook
258,2025-09-26,MX,tiktok
259,2026-01-13,BR,email
260,2025-12-24,CA,google
261,2026-02-21,BR,google
262,2026-02-04,MX,google
263,2025-11-15,BR,organic
264,2025-12-28,PT,organic
265,2026-02-18,US,referral
266,2025-12-19,CA,email
267,2025-11-28,PT,tiktok
268,2025-11-30,PT,organic
269,2026-02-16,BR,tiktok
270,2025-11-05,US,google
271,2025-10-03,US,google
272,2026-02-01,BR,google
273,2025-12-26,CA,organic
274,2026-01-11,MX,google
275,2025-11-25,MX,organic
276,2026-01-07,BR,organic
277,2025-11-19,PT,organic
278,2025-11-02,CA,google
279,2025-11-09,US,email
280,2025-10-19,BR,google
281,2025-11-30,PT,referral
282,2026-02-05,MX,facebook
283,2026-01-10,MX,organic
284,2025-11-21,PT,organic
285,2026-01-03,BR,organic
286,2026-01-01,MX,organic
287,2025-09-19,BR,google
288,2026-03-04,PT,organic
289,2025-09-18,MX,organic
290,2025-10-27,CA,organic
291,2026-01-04,MX,google
292,2026-02-09,CA,organic
293,2026-01-16,BR,organic
294,2025-12-26,MX,facebook
295,2025-10-09,US,facebook
296,2026-03-09,CA,facebook
297,2025-12-24,PT,google
298,2025-10-05,MX,google
299,2025-10-12,CA,email
300,2025-09-13,PT,organic
301,2025-09-26,US,organic
302,2026-02-19,CA,organic
303,2025-09-26,US,google
304,2025-10-16,MX,facebook
305,2026-03-10,CA,google
306,2026-02-21,PT,email
307,2025-10-23,MX,organic
308,2026-02-01,CA,google
309,2025-10-12,CA,tiktok
310,2026-02-25,US,organic
311,2025-11-26,PT,organic
312,2025-12-28,CA,tiktok
313,2025-11-14,CA,organic
314,2025-12-20,US,tiktok
315,2026-01-21,US,email
316,2025-11-22,CA,facebook
317,2026-01-20,MX,email
318,2025-11-24,MX,email
319,2026-02-08,CA,email
320,2026-01-05,PT,organic
321,2025-12-07,PT,referral
322,2025-12-18,CA,tiktok
323,2025-10-31,US,organic
324,2025-11-11,CA,google
325,2026-01-12,CA,facebook
326,2026-03-01,US,organic
327,2025-09-22,US,organic
328,2026-02-11,MX,email
329,2026-01-03,BR,organic
330,2026-01-07,BR,referral
331,2025-12-26,US,google
332,2025-11-19,MX,organic
333,2025-12-23,BR,email
334,2026-03-04,PT,facebook
335,2025-12-03,CA,email
336,2025-09-22,PT,google
337,2026-02-21,MX,tiktok
338,2025-10-06,CA,tiktok
339,2026-02-22,BR,facebook
340,2026-03-09,MX,email
341,2025-09-24,MX,email
342,2025-11-27,MX,facebook
343,2025-10-20,US,organic
344,2026-02-04,US,google
345,2025-10-03,PT,email
346,2026-02-18,US,organic
347,2026-02-09,US,google
348,2026-02-23,MX,facebook
349,2026-03-02,BR,email
350,2026-01-10,MX,organic
351,2025-10-23,BR,facebook
352,2025-12-10,PT,facebook
353,2025-12-30,MX,facebook
354,2025-11-29,US,tiktok
355,2026-01-14,BR,google
356,2026-02-06,MX,organic
357,2026-03-11,MX,google
358,2026-02-28,CA,google
359,2026-02-04,BR,tiktok
360,2026-01-18,MX,referral
361,2025-11-10,PT,email
362,2025-11-08,US,organic
363,2026-03-05,US,organic
364,2026-02-20,BR,facebook
365,2026-01-03,BR,organic
366,2025-10-16,BR,email
367,2025-12-05,CA,google
368,2025-10-16,PT,email
369,2025-12-15,PT,organic
370,2025-11-21,US,google
371,2026-01-14,MX,referral
372,2025-12-08,BR,organic
373,2025-10-02,US,referral
374,2025-11-09,CA,tiktok
375,2026-02-02,MX,google
376,2025-12-23,BR,google
377,2025-10-14,CA,facebook
378,2026-03-04,MX,organic
379,2026-02-23,MX,google
380,2025-11-11,CA,google
381,2026-02-03,MX,tiktok
382,2025-11-08,BR,organic
383,2026-01-09,MX,organic
384,2025-10-12,US,google
385,2025-09-22,MX,tiktok
386,2025-10-12,BR,google
387,2026-01-28,US,facebook
388,2025-12-16,PT,facebook
389,2025-10-22,CA,organic
390,2026-01-16,PT,facebook
391,2025-11-23,BR,organic
392,2025-11-07,CA,facebook
393,2025-11-12,MX,google
394,2026-03-07,MX,organic
395,2026-02-25,MX,google
396,2025-11-22,US,tiktok
397,2026-01-07,BR,organic
398,2026-02-24,PT,tiktok
399,2025-09-25,MX,google
400,2025-10-15,PT,google
401,2026-02-01,US,organic
402,2025-11-11,MX,referral
403,2026-02-12,BR,google
404,2025-10-20,US,organic
405,2025-10-27,BR,organic
406,2025-09-19,US,google
407,2025-11-12,PT,facebook
408,2025-10-27,MX,google
409,2025-12-29,PT,google
410,2025-09-29,CA,facebook
411,2025-12-14,PT,organic
412,2026-01-06,PT,google
413,2026-02-17,BR,referral
414,2026-02-28,PT,facebook
415,2026-02-24,BR,google
416,2026-01-13,CA,facebook
417,2025-10-10,CA,referral
418,2026-01-04,BR,email
419,2025-12-04,PT,google
420,2025-10-15,MX,organic
421,2026-02-09,PT,referral
422,2025-12-19,PT,organic
423,2026-01-07,PT,organic
424,2025-10-08,BR,email
425,2026-02-26,PT,referral
426,2025-11-07,CA,facebook
427,2025-11-10,CA,facebook
428,2026-01-07,CA,facebook
429,2025-10-07,MX,facebook
430,2026-03-02,MX,facebook
431,2025-10-22,CA,google
432,2025-10-04,BR,facebook
433,2025-12-17,US,organic
434,2026-02-10,PT,organic
435,2026-03-03,BR,facebook
436,2026-03-02,CA,email
437,2025-09-26,MX,organic
438,2025-12-12,BR,organic
439,2025-11-06,US,organic
440,2025-11-09,BR,facebook
441,2026-02-02,MX,google
442,2025-11-23,PT,google
443,2025-12-31,PT,tiktok
444,2026-02-19,PT,organic
445,2026-02-02,BR,organic
446,2026-02-28,MX,google
447,2025-11-21,MX,tiktok
448,2025-12-11,BR,google
449,2025-10-19,PT,organic
450,2025-09-30,US,referral
451,2025-09-20,BR,referral
452,2025-11-07,CA,facebook
453,2025-12-09,US,facebook
454,2025-12-05,PT,organic
455,2025-09-26,US,google
456,2026-02-18,BR,organic
457,2025-11-21,CA,organic
458,2026-01-15,PT,facebook
459,2025-11-21,US,referral
460,2025-10-12,MX,facebook
461,2025-11-24,PT,organic
462,2026-03-02,MX,google
463,2025-12-23,PT,google
464,2025-11-04,MX,tiktok
465,2025-10-18,MX,facebook
466,2025-10-13,BR,organic
467,2026-01-01,US,google
468,2026-01-27,US,organic
469,2026-03-03,MX,google
470,2025-09-23,CA,google
471,2025-10-02,MX,organic
472,2026-02-06,CA,organic
473,2025-12-28,MX,google
474,2025-09-18,MX,google
475,2026-02-18,CA,email
476,2025-12-14,BR,facebook
477,2025-10-10,US,facebook
478,2025-12-24,PT,google
479,2025-12-01,MX,google
480,2025-10-26,BR,organic
