account_id,name,created_at,tier
1,Account_001,2025-12-16,free
2,Account_002,2025-10-05,free
3,Account_003,2025-09-17,pro
4,Account_004,2026-01-23,free
5,Account_005,2025-12-10,free
6,Account_006,2026-02-03,pro
7,Account_007,2026-01-12,pro
8,Account_008,2026-01-04,enterprise
9,Account_009,2025-12-21,free
10,Account_010,2025-11-22,pro
11,Account_011,2026-01-28,pro
12,Account_012,2025-12-09,pro
13,Account_013,2025-12-08,free
14,Account_014,2026-01-25,free
15,Account_015,2025-10-30,pro
16,Account_016,2025-12-15,free
17,Account_017,2025-09-17,free
18,Account_018,2025-12-15,free
19,Account_019,2025-12-31,free
20,Account_020,2025-10-09,free
21,Account_021,2025-12-25,pro
22,Account_022,2026-02-09,pro
23,Account_023,2025-10-05,free
24,Account_024,2025-09-21,enterprise
25,Account_025,2026-02-03,pro
26,Account_026,2026-02-02,free
27,Account_027,2025-10-29,free
28,Account_028,2025-11-17,pro
29,Account_029,2025-12-18,pro
30,Account_030,2026-01-17,pro
31,Account_031,2025-12-31,pro
32,Account_032,2026-01-09,free
33,Account_033,2025-11-19,enterprise
34,Account_034,2025-10-18,pro
35,Account_035,2025-10-25,pro
36,Account_036,2025-10-29,free
37,Account_037,2025-10-28,free
38,Account_038,2025-11-14,pro
39,Account_039,2025-11-15,free
40,Account_040,2025-12-18,free
41,Account_041,2025-11-29,free
42,Account_042,2025-11-23,pro
43,Account_043,2025-09-25,pro
44,Account_044,2026-01-19,pro
45,Account_045,2025-09-25,pro
46,Account_046,2026-01-22,pro
47,Account_047,2025-09-26,free
48,Account_048,2025-10-02,free
49,Account_049,2025-12-30,free
50,Account_050,2025-09-25,pro
51,Account_051,2025-09-22,free
52,Account_052,2025-11-13,free
53,Account_053,2025-11-12,free
54,Account_054,2026-01-28,enterprise
55,Account_055,2025-12-05,pro
56,Account_056,2026-01-29,free
57,Account_057,2025-12-20,pro
58,Account_058,2026-01-27,free
59,Account_059,2025-10-13,free
60,Account_060,2026-01-23,enterprise
61,Account_061,2025-12-28,pro
62,Account_062,2025-11-03,free
63,Account_063,2025-11-23,free
64,Account_064,2025-12-06,enterprise
65,Account_065,2026-02-04,free
66,Account_066,2025-10-23,free
67,Account_067,2025-10-03,pro
68,Account_068,2025-12-21,free
69,Account_069,2025-11-19,free
70,Account_070,2026-01-15,free
71,Account_071,2026-01-03,free
72,Account_072,2026-01-11,free
73,Account_073,2025-11-18,free
74,Account_074,2025-09-24,free
75,Account_075,2026-01-31,enterprise
76,Account_076,2026-01-07,free
77,Account_077,2025-12-13,pro
78,Account_078,2025-10-21,free
79,Account_079,2026-02-01,pro
80,Account_080,2026-01-25,free
81,Account_081,2025-10-07,pro
82,Account_082,2025-12-30,free
83,Account_083,2025-09-21,free
84,Account_084,2026-01-08,pro
85,Account_085,2025-09-25,enterprise
86,Account_086,2025-12-01,free
87,Account_087,2026-01-09,pro
88,Account_088,2025-09-21,free
89,Account_089,2025-11-06,free
90,Account_090,2026-02-08,free
91,Account_091,2025-12-06,free
92,Account_092,2025-09-25,free
93,Account_093,2026-02-04,free
94,Account_094,2026-01-30,free
95,Account_095,2025-10-09,pro
96,Account_096,2026-01-04,free
97,Account_097,2025-11-19,free
98,Account_098,2026-01-16,enterprise
99,Account_099,2025-10-20,pro
100,Account_100,2026-01-17,free
101,Account_101,2025-10-27,free
102,Account_102,2026-01-19,free
103,Account_103,2026-01-07,enterprise
104,Account_104,2026-01-21,free
105,Account_105,2025-09-24,enterprise
106,Account_106,2026-01-15,free
107,Account_107,2025-11-08,free
108,Account_108,2025-11-16,enterprise
109,Account_109,2025-10-18,pro
110,Account_110,2025-11-16,free
111,Account_111,2025-10-31,free
112,Account_112,2025-12-01,pro
113,Account_113,2026-02-04,free
114,Account_114,2025-09-14,free
115,Account_115,2025-12-19,pro
116,Account_116,2026-02-06,free
117,Account_117,2026-01-04,enterprise
118,Account_118,2026-01-27,enterprise
119,Account_119,2025-10-07,pro
120,Account_120,2025-11-19,free
