ticket_id,event_ts,new_status,actor_user_id
1,2025-10-12 08:00:00,closed,1449
1,2025-10-13 18:00:00,open,1449
1,2025-10-12 20:00:00,closed,1449
1,2025-10-13 20:00:00,closed,1449
1,2025-10-15 08:00:00,open,1449
1,2025-10-15 11:00:00,open,1449
1,2025-10-13 02:00:00,open,1449
1,2025-10-12 22:00:00,closed,1449
2,2025-12-25 09:00:00,open,1606
2,2025-12-26 14:00:00,open,1606
2,2025-12-27 07:00:00,open,1606
2,2025-12-29 18:00:00,open,1606
2,2025-12-31 05:00:00,pending,1606
2,2025-12-25 14:00:00,open,1606
2,2025-12-31 15:00:00,closed,1606
3,2026-01-30 06:00:00,solved,351
3,2026-01-30 09:00:00,closed,351
3,2026-01-30 20:00:00,pending,351
4,2025-10-12 00:00:00,solved,2411
4,2025-10-12 16:00:00,closed,2411
4,2025-10-14 20:00:00,solved,2411
4,2025-10-12 15:00:00,pending,2411
4,2025-10-13 00:00:00,solved,2411
4,2025-10-13 06:00:00,open,2411
4,2025-10-13 18:00:00,solved,2411
4,2025-10-18 10:00:00,open,2411
5,2025-12-01 01:00:00,pending,1580
5,2025-12-02 10:00:00,closed,1580
5,2025-12-02 05:00:00,solved,1580
5,2025-12-01 07:00:00,open,1580
5,2025-12-02 05:00:00,pending,1580
5,2025-12-01 11:00:00,closed,1580
5,2025-12-04 13:00:00,closed,1580
6,2026-02-10 05:00:00,open,1553
6,2026-02-11 08:00:00,open,1553
6,2026-02-11 21:00:00,closed,1553
6,2026-02-10 11:00:00,open,1553
6,2026-02-15 13:00:00,pending,1553
7,2026-02-28 11:00:00,open,1096
7,2026-02-28 14:00:00,open,1096
7,2026-03-03 03:00:00,solved,1096
7,2026-03-01 02:00:00,pending,1096
7,2026-03-06 03:00:00,closed,1096
8,2025-11-20 09:00:00,solved,2454
8,2025-11-20 18:00:00,pending,2454
8,2025-11-21 05:00:00,pending,2454
8,2025-11-20 18:00:00,closed,2454
8,2025-11-20 17:00:00,closed,2454
9,2025-11-23 09:00:00,open,2251
9,2025-11-23 22:00:00,open,2251
9,2025-11-24 17:00:00,closed,2251
10,2025-10-16 05:00:00,open,1240
10,2025-10-16 12:00:00,pending,1240
10,2025-10-18 03:00:00,closed,1240
11,2025-11-02 03:00:00,pending,1859
11,2025-11-02 22:00:00,open,1859
11,2025-11-02 15:00:00,pending,1859
11,2025-11-05 18:00:00,pending,1859
11,2025-11-04 07:00:00,open,1859
12,2025-10-11 04:00:00,pending,702
12,2025-10-11 19:00:00,pending,702
12,2025-10-12 22:00:00,solved,702
13,2025-12-17 03:00:00,closed,1772
13,2025-12-17 13:00:00,pending,1772
13,2025-12-20 03:00:00,pending,1772
13,2025-12-19 15:00:00,pending,1772
13,2025-12-22 03:00:00,closed,1772
14,2026-01-28 06:00:00,solved,1638
14,2026-01-28 12:00:00,closed,1638
15,2026-01-11 06:00:00,open,710
15,2026-01-11 13:00:00,closed,710
16,2025-11-15 01:00:00,pending,2044
16,2025-11-15 12:00:00,pending,2044
16,2025-11-15 19:00:00,open,2044
16,2025-11-19 01:00:00,open,2044
16,2025-11-16 13:00:00,pending,2044
17,2025-11-15 12:00:00,closed,2121
17,2025-11-15 16:00:00,open,2121
17,2025-11-16 06:00:00,pending,2121
17,2025-11-19 00:00:00,pending,2121
17,2025-11-16 20:00:00,closed,2121
18,2026-02-22 06:00:00,open,121
18,2026-02-22 22:00:00,closed,121
19,2026-02-24 08:00:00,closed,1907
19,2026-02-25 14:00:00,solved,1907
19,2026-02-24 14:00:00,open,1907
19,2026-02-26 20:00:00,closed,1907
20,2025-10-17 01:00:00,pending,71
20,2025-10-17 08:00:00,solved,71
20,2025-10-18 17:00:00,solved,71
20,2025-10-18 22:00:00,closed,71
21,2026-01-19 06:00:00,pending,2353
21,2026-01-20 09:00:00,open,2353
22,2026-01-20 02:00:00,solved,827
22,2026-01-20 08:00:00,pending,827
22,2026-01-21 10:00:00,solved,827
22,2026-01-23 23:00:00,pending,827
22,2026-01-22 18:00:00,open,827
22,2026-01-22 09:00:00,closed,827
23,2026-01-26 07:00:00,pending,1895
23,2026-01-27 17:00:00,closed,1895
23,2026-01-26 13:00:00,solved,1895
23,2026-01-28 22:00:00,closed,1895
24,2025-10-25 11:00:00,pending,983
24,2025-10-26 14:00:00,open,983
24,2025-10-26 09:00:00,pending,983
24,2025-10-28 20:00:00,solved,983
24,2025-10-25 23:00:00,pending,983
24,2025-10-29 05:00:00,closed,983
24,2025-10-27 05:00:00,solved,983
24,2025-10-27 19:00:00,closed,983
25,2026-02-22 06:00:00,closed,255
25,2026-02-22 12:00:00,solved,255
25,2026-02-23 04:00:00,open,255
25,2026-02-25 00:00:00,open,255
25,2026-02-22 18:00:00,solved,255
25,2026-02-27 06:00:00,open,255
25,2026-02-27 00:00:00,closed,255
25,2026-02-26 08:00:00,closed,255
26,2025-12-04 11:00:00,open,575
26,2025-12-04 23:00:00,solved,575
26,2025-12-07 03:00:00,closed,575
27,2025-10-09 05:00:00,pending,290
27,2025-10-10 12:00:00,open,290
27,2025-10-10 23:00:00,solved,290
27,2025-10-13 11:00:00,closed,290
28,2025-11-06 06:00:00,closed,252
28,2025-11-07 04:00:00,solved,252
28,2025-11-07 22:00:00,pending,252
28,2025-11-08 12:00:00,closed,252
29,2026-01-02 12:00:00,solved,2480
29,2026-01-02 16:00:00,open,2480
29,2026-01-03 22:00:00,pending,2480
29,2026-01-06 15:00:00,open,2480
29,2026-01-05 12:00:00,pending,2480
29,2026-01-04 09:00:00,pending,2480
29,2026-01-05 00:00:00,closed,2480
30,2026-02-05 00:00:00,pending,1739
30,2026-02-05 01:00:00,solved,1739
30,2026-02-05 06:00:00,open,1739
30,2026-02-07 15:00:00,open,1739
30,2026-02-10 12:00:00,closed,1739
31,2026-02-05 04:00:00,open,2319
31,2026-02-05 08:00:00,solved,2319
31,2026-02-07 20:00:00,closed,2319
32,2025-12-28 07:00:00,closed,1162
32,2025-12-29 06:00:00,open,1162
33,2026-02-17 09:00:00,closed,2101
33,2026-02-17 10:00:00,solved,2101
33,2026-02-19 15:00:00,pending,2101
33,2026-02-19 09:00:00,open,2101
33,2026-02-22 17:00:00,solved,2101
33,2026-02-18 05:00:00,solved,2101
33,2026-02-22 03:00:00,pending,2101
34,2025-10-31 08:00:00,solved,479
34,2025-11-01 13:00:00,open,479
34,2025-11-01 04:00:00,closed,479
34,2025-11-04 08:00:00,pending,479
34,2025-11-04 20:00:00,open,479
34,2025-11-05 13:00:00,closed,479
35,2025-10-30 05:00:00,pending,1895
35,2025-10-30 11:00:00,closed,1895
35,2025-11-01 09:00:00,closed,1895
35,2025-11-02 17:00:00,open,1895
35,2025-11-02 01:00:00,closed,1895
