ticket_id,account_id,created_at,status,priority,closed_at
1,38,2025-10-12,solved,low,2025-10-21
2,21,2025-12-25,solved,low,2026-01-05
3,63,2026-01-30,open,medium,
4,41,2025-10-12,open,high,
5,33,2025-12-01,solved,low,2025-12-09
6,87,2026-02-10,pending,medium,
7,4,2026-02-28,solved,medium,2026-03-09
8,13,2025-11-20,solved,low,2025-11-29
9,92,2025-11-23,solved,high,2025-11-26
10,68,2025-10-16,closed,medium,2025-10-23
11,10,2025-11-02,open,high,
12,53,2025-10-11,pending,medium,
13,69,2025-12-17,closed,medium,2025-12-24
14,89,2026-01-28,closed,low,2026-02-08
15,62,2026-01-11,closed,high,2026-01-16
16,91,2025-11-15,open,medium,
17,45,2025-11-15,solved,high,2025-11-20
18,80,2026-02-22,solved,low,2026-03-04
19,73,2026-02-24,solved,high,2026-02-28
20,28,2025-10-17,closed,medium,2025-10-23
21,98,2026-01-19,open,medium,
22,5,2026-01-20,closed,low,2026-01-31
23,37,2026-01-26,closed,medium,2026-01-29
24,58,2025-10-25,solved,high,2025-10-30
25,55,2026-02-22,closed,high,2026-02-26
26,1,2025-12-04,solved,high,2025-12-08
27,117,2025-10-09,solved,medium,2025-10-15
28,91,2025-11-06,solved,low,2025-11-15
29,53,2026-01-02,closed,medium,2026-01-08
30,97,2026-02-05,solved,high,2026-02-09
31,60,2026-02-05,solved,low,2026-02-12
32,34,2025-12-28,open,medium,
33,54,2026-02-17,pending,medium,
34,92,2025-10-31,closed,medium,2025-11-08
35,37,2025-10-30,closed,low,2025-11-10
36,18,2026-02-16,closed,medium,2026-02-24
37,23,2025-11-20,closed,low,2025-11-26
38,3,2025-11-18,closed,high,2025-11-20
39,60,2026-01-30,open,medium,
40,120,2025-10-18,closed,low,2025-10-29
41,97,2026-02-07,solved,medium,2026-02-12
42,89,2025-11-23,solved,low,2025-12-01
43,11,2025-10-02,closed,high,2025-10-05
44,6,2025-09-26,closed,urgent,2025-09-29
45,60,2025-11-04,solved,urgent,2025-11-04
46,5,2025-10-31,closed,low,2025-11-09
47,33,2026-02-21,closed,medium,2026-02-26
48,65,2025-12-18,closed,medium,2025-12-27
49,53,2025-09-26,solved,low,2025-10-04
50,106,2025-11-16,closed,medium,2025-11-22
51,27,2025-11-22,solved,medium,2025-11-28
52,13,2025-09-27,open,high,
53,48,2026-01-01,solved,medium,2026-01-10
54,48,2026-01-12,solved,medium,2026-01-18
55,12,2026-02-25,solved,low,2026-03-11
56,97,2026-02-24,solved,medium,2026-03-03
57,100,2025-12-08,solved,medium,2025-12-16
58,77,2026-02-14,closed,medium,2026-02-21
59,9,2025-09-25,solved,low,2025-10-07
60,97,2025-12-08,closed,urgent,2025-12-12
61,9,2025-11-05,pending,high,
62,98,2026-02-20,pending,medium,
63,110,2025-12-17,solved,low,2025-12-24
64,112,2025-12-18,open,medium,
65,38,2026-02-26,solved,low,2026-03-08
66,67,2025-11-13,solved,medium,2025-11-22
67,45,2025-11-17,solved,medium,2025-11-26
68,82,2025-12-01,pending,medium,
69,88,2025-12-09,solved,medium,2025-12-16
70,27,2025-09-22,solved,low,2025-09-30
71,22,2026-01-18,solved,medium,2026-01-22
72,33,2025-09-28,solved,high,2025-09-30
73,68,2025-09-22,solved,medium,2025-09-27
74,106,2025-10-23,closed,high,2025-10-30
75,88,2026-02-02,solved,low,2026-02-07
76,107,2026-02-26,solved,low,2026-03-12
77,30,2026-01-14,solved,low,2026-01-21
78,5,2025-10-03,solved,low,2025-10-12
79,10,2025-12-06,solved,medium,2025-12-14
80,95,2026-03-03,solved,medium,2026-03-06
81,56,2025-10-06,closed,medium,2025-10-10
82,107,2025-11-13,solved,medium,2025-11-19
83,67,2025-11-06,solved,medium,2025-11-14
84,13,2026-02-15,open,high,
85,1,2025-10-18,solved,low,2025-10-30
86,67,2025-12-14,solved,medium,2025-12-21
87,118,2025-10-14,open,high,
88,36,2025-09-18,closed,medium,2025-09-24
89,68,2025-10-14,closed,low,2025-10-23
90,103,2026-01-26,solved,urgent,2026-01-26
91,25,2026-01-22,closed,high,2026-01-22
92,101,2025-09-15,open,medium,
93,37,2026-01-05,open,urgent,
94,97,2026-01-29,closed,medium,2026-02-02
95,118,2026-02-02,closed,medium,2026-02-11
96,34,2025-12-30,solved,low,2026-01-07
97,36,2026-01-26,pending,high,
98,28,2025-11-02,pending,high,
99,18,2025-12-03,solved,low,2025-12-13
100,93,2025-12-19,solved,low,2025-12-30
101,61,2025-11-11,closed,medium,2025-11-18
102,14,2026-03-03,open,low,
103,8,2025-10-07,solved,high,2025-10-13
104,115,2026-03-07,pending,medium,
105,120,2026-02-08,solved,low,2026-02-18
106,94,2025-09-16,solved,high,2025-09-20
107,45,2026-02-10,solved,high,2026-02-15
108,26,2026-01-23,open,medium,
109,19,2026-02-21,closed,low,2026-02-27
110,117,2025-10-17,open,medium,
111,46,2026-02-05,solved,medium,2026-02-10
112,71,2026-01-05,pending,low,
113,105,2025-11-04,closed,medium,2025-11-12
114,104,2025-11-06,closed,medium,2025-11-12
115,5,2026-01-01,closed,high,2026-01-05
116,44,2026-03-05,pending,high,
117,33,2026-02-11,closed,high,2026-02-14
118,85,2026-02-23,open,low,
119,81,2025-12-05,pending,medium,
120,12,2025-10-16,closed,medium,2025-10-23
121,32,2025-09-23,solved,medium,2025-09-29
122,120,2026-01-16,solved,low,2026-01-20
123,21,2025-12-28,closed,low,2026-01-08
124,67,2026-02-03,pending,medium,
125,80,2025-11-19,pending,low,
126,7,2025-10-20,closed,medium,2025-10-27
127,77,2025-10-19,solved,high,2025-10-24
128,98,2025-10-04,closed,low,2025-10-12
129,67,2026-01-20,pending,medium,
130,55,2026-01-15,solved,low,2026-01-22
131,93,2025-11-11,closed,medium,2025-11-17
132,105,2025-12-13,solved,low,2025-12-25
133,85,2025-11-29,closed,low,2025-12-09
134,52,2025-11-18,solved,urgent,2025-11-22
135,41,2025-12-18,open,low,
136,116,2025-10-14,open,medium,
137,98,2026-03-12,pending,medium,
138,31,2025-10-28,closed,medium,2025-11-01
139,41,2025-10-09,open,medium,
140,63,2025-11-24,solved,medium,2025-11-29
141,92,2025-12-04,open,low,
142,7,2026-01-11,closed,low,2026-01-23
143,18,2025-12-14,solved,medium,2025-12-21
144,41,2025-12-12,closed,low,2025-12-20
145,66,2026-03-06,solved,high,2026-03-11
146,118,2026-02-23,closed,low,2026-03-07
147,100,2026-02-17,closed,high,2026-02-22
148,91,2026-02-23,solved,high,2026-02-26
149,56,2025-10-21,pending,urgent,
150,15,2026-03-12,open,urgent,
151,37,2026-03-11,pending,medium,
152,27,2025-12-19,closed,medium,2025-12-27
153,89,2025-11-09,solved,low,2025-11-21
154,83,2026-02-10,solved,medium,2026-02-17
155,105,2025-12-29,open,low,
156,113,2025-10-24,closed,low,2025-11-03
157,111,2026-02-07,open,medium,
158,24,2025-12-08,solved,low,2025-12-17
159,35,2025-12-05,open,high,
160,102,2026-03-06,closed,high,2026-03-11
161,99,2026-02-13,closed,medium,2026-02-21
162,44,2025-12-05,closed,medium,2025-12-13
163,34,2025-12-24,solved,medium,2025-12-31
164,49,2026-02-11,solved,low,2026-02-24
165,19,2025-12-13,solved,high,2025-12-17
166,57,2026-02-08,solved,medium,2026-02-16
167,85,2026-02-13,pending,medium,
168,54,2026-02-27,pending,urgent,
169,75,2025-12-03,closed,low,2025-12-11
170,32,2025-10-26,solved,medium,2025-10-31
171,35,2025-10-17,solved,low,2025-10-26
172,17,2025-12-15,solved,low,2025-12-24
173,7,2025-09-18,solved,medium,2025-09-29
174,117,2025-12-20,solved,medium,2025-12-28
175,65,2026-01-08,pending,low,
176,38,2026-02-02,solved,low,2026-02-09
177,37,2025-11-20,solved,low,2025-11-29
178,13,2026-02-10,closed,medium,2026-02-20
179,103,2025-12-16,closed,medium,2025-12-21
180,117,2026-01-12,closed,medium,2026-01-16
181,28,2026-03-04,open,low,
182,3,2026-01-03,open,low,
183,37,2026-01-19,solved,high,2026-01-22
184,116,2026-02-10,closed,low,2026-02-20
185,37,2026-01-26,closed,low,2026-02-01
186,47,2025-12-29,solved,medium,2026-01-05
187,82,2025-12-13,closed,high,2025-12-16
188,57,2026-03-07,solved,high,2026-03-10
189,49,2025-12-04,solved,medium,2025-12-07
190,105,2026-01-21,closed,medium,2026-01-26
191,74,2026-02-09,closed,high,2026-02-11
192,14,2026-02-13,solved,medium,2026-02-20
193,50,2026-02-21,pending,medium,
194,24,2025-12-12,solved,high,2025-12-14
195,2,2026-02-24,solved,low,2026-03-06
196,43,2025-09-30,pending,low,
197,54,2025-10-03,solved,medium,2025-10-13
198,27,2026-02-20,solved,medium,2026-02-25
199,14,2026-01-03,solved,medium,2026-01-11
200,91,2026-02-06,closed,low,2026-02-13
201,79,2025-09-28,solved,urgent,2025-10-02
202,78,2026-03-02,solved,low,2026-03-11
203,58,2026-03-05,solved,low,2026-03-09
204,54,2026-02-26,pending,low,
205,107,2025-12-30,solved,low,2026-01-13
206,8,2025-11-27,closed,medium,2025-12-07
207,7,2025-11-15,closed,high,2025-11-15
208,36,2025-09-22,closed,medium,2025-10-02
209,21,2025-10-28,solved,urgent,2025-10-30
210,17,2025-11-24,solved,medium,2025-11-28
211,40,2025-09-25,solved,high,2025-10-02
212,22,2025-09-15,solved,medium,2025-09-20
213,43,2025-12-30,closed,medium,2026-01-03
214,69,2025-12-01,solved,low,2025-12-13
215,98,2025-12-16,closed,medium,2025-12-24
216,79,2026-03-07,pending,medium,
217,95,2025-10-03,closed,medium,2025-10-14
218,115,2026-02-27,closed,low,2026-03-09
